username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
abhishek_s_b;2015-12-04 14:18;0;0;"Somebody forgot to tell driver - his # car is not fit to run top of # water # ChennaiFloods # Rains… https://www.instagram.com/p/-4uq0gufN3/";Sholinganallur- India;;;"672902887182311424";https://twitter.com/abhishek_s_b/status/672902887182311424
imvenkatram;2015-12-04 12:06;0;0;"# prayforchennai # chennairains # ChennaiFloods # chennai @Thyagaraya Nagar https://www.instagram.com/p/-4fehgkbY5KHStGpXYb0HS-fcgMkr7cp8fAgg0/ …";Chennai- India;@Thyagaraya;;"672869480033292288";https://twitter.com/imvenkatram/status/672869480033292288
manishjal09;2015-12-04 11:05;0;0;"I am safe now. Came to Bangalore from Chennai. Hope all will be good. # ChennaiFloods";Bengaluru South- India;;;"672854235319414784";https://twitter.com/manishjal09/status/672854235319414784
Elavarasu_Thiru;2015-12-04 10:07;0;0;"we are 5 volunteer want to support like food distributing, helping, etc call to 9962903506/9986072410#ChennaiFloods";Bengaluru South- India;;;"672839618371325952";https://twitter.com/Elavarasu_Thiru/status/672839618371325952
Vineethmjain28;2015-12-04 10:06;1;0;"Rather then making all d employees help d ppl for rescue volunteers in flooded areas, by bloody office is asking me go n login in b'lore";Saidapet- India;;;"672839347146645504";https://twitter.com/Vineethmjain28/status/672839347146645504
jain_benny;2015-12-04 10:03;0;0;"Keep praying and help for # ChennaiFloods......Hope you come back soon # chennai";Pallakad- India;;;"672838674933911552";https://twitter.com/jain_benny/status/672838674933911552
freezethinker;2015-12-04 09:39;1;0;"Some contributions from the Rotaract Club of RVCE. # BangaloreForChennai # ChennaiRains @R.V.… https://www.instagram.com/p/-4Oq4YJKQN/";Bengaluru South- India;@R;;"672832522586349568";https://twitter.com/freezethinker/status/672832522586349568
Suganya1812;2015-12-04 09:03;1;1;"If our media doesn't show # CuddaloreFloods as much as # Chennai, thn how can v expect national media to cover # ChennaiFloods??? # ironic";Coimbatore- India;;;"672823555944521728";https://twitter.com/Suganya1812/status/672823555944521728
BoneyXavier;2015-12-04 09:03;0;0;"Emergency Was a Mistake: Congress' Jyotiraditya Scindia - NDTV # IntoleranceDebate # IntolerantCONgress # Intolerance http://www.ndtv.com/india-news/emergency-was-a-mistake-congress-jyotiraditya-scindia-1251137 …";Kanayannur- India;;;"672823531990814720";https://twitter.com/BoneyXavier/status/672823531990814720
kumaranthambi;2015-12-04 08:27;1;0;"@ Actor_Siddharth real Hero in Tamilnadu . Great sir , instead of share the mgs , u helped them ... a lot @ ChennaiRains";Bhavani (Tiruchengodu)- India;@ @;;"672814429348610048";https://twitter.com/kumaranthambi/status/672814429348610048
SIVA_ASSAULT;2015-12-04 08:16;0;0;"Dear media,u exaggerating the # chennaifloods but why not even consider for # Thamirabarani # Thoothukudifloods @ RangarajPandeyR na pls hlp us";Tiruchirapalli- India;@;;"672811820621635584";https://twitter.com/SIVA_ASSAULT/status/672811820621635584
1953Lakshmi;2015-12-04 07:41;0;0;"#ChennaiFloods#ChennaiMicro 4 super senior n 1senior citizen at 15/1, 1st cross ,Raghavan colony need food n water SOS.";Bengaluru- India;;;"672802962184364032";https://twitter.com/1953Lakshmi/status/672802962184364032
pk_preRF;2015-12-04 06:39;1;0;"800 food parcels is cming 2 # VELACHERY in 30 mins call: Aravind Raj Mohan 9952909949 # shared # chennairains # ChennaiMicro # ChennaiRainsHelp";Tiruppur- India;;;"672787263558778880";https://twitter.com/pk_preRF/status/672787263558778880
SripriyaGopalan;2015-12-04 05:58;0;0;"@ ChennaiRains can anyone tell the status in ramapuram? Srividhya trust 1/70 naidu street? This s an old age home!!";Mylapore Tiruvallike- India;@;;"672776931310309377";https://twitter.com/SripriyaGopalan/status/672776931310309377
iMarathTamizhan;2015-12-04 05:45;17;21;"Superstar # Rajinikanth shut his haters' months by donating 10+ Crores to # ChennaiRainsHelp !!!! Avar Vazhi Thani vazhi !!! # ChennaiFloods";Coimbatore- India;;;"672773731463270401";https://twitter.com/iMarathTamizhan/status/672773731463270401
BoneyXavier;2015-12-04 05:40;0;0;"All Banks in # ChennaiFloods affected areas will remain open on Sunday and will also offer extended business hours:Ministry of Finance";Kanayannur- India;;;"672772560187228161";https://twitter.com/BoneyXavier/status/672772560187228161
jinkaravikiran;2015-12-04 05:33;0;0;"Thoughts and prayers with the people more severely affected. # ChennaiFloods";Bengaluru South- India;;;"672770608313139200";https://twitter.com/jinkaravikiran/status/672770608313139200
TrendsChennai;2015-12-04 05:00;1;2;"Chennai Rains Help, @ aidoffered is now trending in # Chennaihttp://trendsmap.com/in/chennai";Egmore Nungambakkam- India;@;;"672762371471896576";https://twitter.com/TrendsChennai/status/672762371471896576
ganeshicf;2015-12-04 04:49;6;2;"Needs rescue Preethi plot #240 A-6 2nd floor Accord Ventura Flats 10th Main Rd Ramnagar South Ext. Pallikkaranai @ thanthitv # ChennaiFloods";Perambur Purasavakam- India;@;;"672759580779089920";https://twitter.com/ganeshicf/status/672759580779089920
ganeshicf;2015-12-04 04:46;2;0;"Needs help Preethi plot #240 A-6 2nd floor Accord Ventura Flats 10th Main Rd Ramnagar South Ext. Pallikkaranai @ Suriya_offl # ChennaiFloods";Perambur Purasavakam- India;@;;"672758887246774272";https://twitter.com/ganeshicf/status/672758887246774272
ganeshicf;2015-12-04 04:35;0;0;"Needs help Preethi plot #240 A-6 2nd floor Accord Ventura Flats 10th Main Rd Ramnagar South Ext. Pallikkaranai @ RJ_Balaji # ChennaiFloods";Perambur Purasavakam- India;@;;"672756210429390848";https://twitter.com/ganeshicf/status/672756210429390848
vijivenkatesh;2015-12-04 03:45;0;0;"# 100sareepact In Madras and marooned because of # Chennairains . Feel totally useless as I am… https://www.instagram.com/p/-3mQVsy5s1/";Mylapore Tiruvallike- India;;;"672743648296062976";https://twitter.com/vijivenkatesh/status/672743648296062976
archvivekh;2015-12-04 03:31;7;3;"Heavy rains pelting # Annanagar. @ chennaiweather @ SkymetWeather Be safe Chennai.";Egmore Nungambakkam- India;@ @;;"672740096626397185";https://twitter.com/archvivekh/status/672740096626397185
leathetramp;2015-12-04 03:23;0;0;"# MIOT hospitals, manappakam has serious chaos .. Telecasting now in # SunTV.. # ChennaiRains";Bengaluru- India;;;"672738011440779264";https://twitter.com/leathetramp/status/672738011440779264
archvivekh;2015-12-04 03:22;1;1;"Took poonamalle road, Halls road. Road till Chintamani pretty motorable. Water logged in parts. # Chennairains # Chennaifloods # areaupdates";Egmore Nungambakkam- India;;;"672737706502295554";https://twitter.com/archvivekh/status/672737706502295554
archvivekh;2015-12-04 03:16;2;0;"Unable to trace close relatives ramani Ramachandran residing at VJ flats, valmiki Nagar. # chennaifloods # chennaihelp.";Egmore Nungambakkam- India;;;"672736246477688832";https://twitter.com/archvivekh/status/672736246477688832
